"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","74.125.138.95","10.0.0.169","TLSv1.2","111","Application Data"
"2","0.007024","10.0.0.169","74.125.138.95","TCP","66","58031  >  443 [ACK] Seq=1 Ack=46 Win=406 Len=0 TSval=536764 TSecr=1926011217"
"3","0.291968","10.0.0.169","74.125.196.99","TCP","74","32864  >  443 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=536793 TSecr=0 WS=64"
"4","0.321301","74.125.196.99","10.0.0.169","TCP","74","443  >  32864 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1430 SACK_PERM=1 TSval=2990278218 TSecr=536793 WS=256"
"5","0.326030","10.0.0.169","74.125.196.99","TCP","66","32864  >  443 [ACK] Seq=1 Ack=1 Win=14656 Len=0 TSval=536797 TSecr=2990278218"
"6","0.329844","10.0.0.169","74.125.196.99","TLSv1.3","650","Client Hello"
"7","0.356408","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=1 Ack=585 Win=66816 Len=0 TSval=2990278253 TSecr=536797"
"8","0.357790","74.125.196.99","10.0.0.169","TLSv1.3","278","Server Hello, Change Cipher Spec, Application Data"
"9","0.364461","10.0.0.169","74.125.196.99","TCP","66","32864  >  443 [ACK] Seq=585 Ack=213 Win=15680 Len=0 TSval=536800 TSecr=2990278253"
"10","0.364849","10.0.0.169","74.125.196.99","TLSv1.3","130","Change Cipher Spec, Application Data"
"11","0.365053","10.0.0.169","74.125.196.99","TLSv1.3","158","Application Data"
"12","0.365429","10.0.0.169","74.125.196.99","TLSv1.3","342","Application Data"
"13","0.365797","10.0.0.169","74.125.196.99","TLSv1.3","165","Application Data"
"14","0.366404","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=1116 Ack=213 Win=15680 Len=1418 TSval=536801 TSecr=2990278253 [TCP segment of a reassembled PDU]"
"15","0.367044","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=2534 Ack=213 Win=15680 Len=1418 TSval=536801 TSecr=2990278253 [TCP segment of a reassembled PDU]"
"16","0.367131","10.0.0.169","74.125.196.99","TLSv1.3","113","Application Data"
"17","0.367420","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=3999 Ack=213 Win=15680 Len=1418 TSval=536801 TSecr=2990278253 [TCP segment of a reassembled PDU]"
"18","0.371073","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=5417 Ack=213 Win=15680 Len=1418 TSval=536801 TSecr=2990278253 [TCP segment of a reassembled PDU]"
"19","0.371269","10.0.0.169","74.125.196.99","TLSv1.3","113","Application Data"
"20","0.380369","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=213 Ack=741 Win=66816 Len=0 TSval=2990278276 TSecr=536800"
"21","0.380372","74.125.196.99","10.0.0.169","TLSv1.3","646","Application Data, Application Data"
"22","0.380375","74.125.196.99","10.0.0.169","TLSv1.3","97","Application Data"
"23","0.380378","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=1116 Win=68096 Len=0 TSval=2990278277 TSecr=536801"
"24","0.380380","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=3952 Win=73728 Len=0 TSval=2990278277 TSecr=536801"
"25","0.382528","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=6882 Ack=213 Win=15680 Len=1418 TSval=536802 TSecr=2990278276 [TCP segment of a reassembled PDU]"
